2012-04-01T20:58:05.356331+00:00,sim64a[15579]:,disconnect,2,177.33.96.209,edson
2012-04-01T20:58:05.356583+00:00,sim64a[15579]:,disconnect,4,77.242.81.206,Client#4
2012-04-01T20:58:16.372995+00:00,sim64a[15579]:,connect,2,177.33.96.209,edson
2012-04-01T21:02:42.486552+00:00,sim64a[15579]:,disconnect,2,177.33.96.209,edson
2012-04-01T21:02:49.630966+00:00,sim64a[15579]:,connect,3,177.33.96.209,edson
2012-04-01T21:10:03.475863+00:00,sim64a[15579]:,connect,2,177.33.96.209,edson
2012-04-01T21:11:52.025136+00:00,sim64a[15579]:,connect,4,71.200.68.118,Client#3
2012-04-01T21:11:52.157982+00:00,sim64a[15579]:,disconnect,3,177.33.96.209,edson
2012-04-01T21:14:26.393596+00:00,sim64a[15579]:,disconnect,4,71.200.68.118,Client#3
2012-04-01T21:17:53.649840+00:00,sim64a[15579]:,connect,3,177.33.96.209,edson
2012-04-01T21:30:16.242531+00:00,sim64a[15579]:,connect,4,177.33.96.209,edson
2012-04-01T21:31:28.914806+00:00,sim64a[15579]:,connect,5,177.33.96.209,edson
2012-04-01T21:40:36.204465+00:00,sim64a[15579]:,disconnect,2,177.33.96.209,edson
2012-04-01T21:40:36.204722+00:00,sim64a[15579]:,disconnect,3,177.33.96.209,edson
2012-04-01T21:40:36.204969+00:00,sim64a[15579]:,disconnect,4,177.33.96.209,edson
2012-04-01T21:40:36.205213+00:00,sim64a[15579]:,disconnect,5,177.33.96.209,edson
2012-04-01T21:40:46.446273+00:00,sim64a[15579]:,connect,2,177.33.96.209,edson
2012-04-01T21:41:32.538939+00:00,sim64a[15579]:,connect,3,189.29.169.240,Client#3
2012-04-01T21:41:58.098892+00:00,sim64a[15579]:,chat,3,189.29.169.240,Client#3,15,,...
2012-04-01T21:42:14.269392+00:00,sim64a[15579]:,disconnect,3,189.29.169.240,Client#3
2012-04-01T21:42:37.097419+00:00,sim64a[15579]:,connect,3,189.29.169.240,IgorEliezer
2012-04-01T21:42:54.651685+00:00,sim64a[15579]:,chat,2,177.33.96.209,edson,2,FedEx,ha
2012-04-01T21:43:21.327155+00:00,sim64a[15579]:,chat,2,177.33.96.209,edson,2,FedEx,eai forum admin :D
2012-04-01T21:43:49.532724+00:00,sim64a[15579]:,chat,3,189.29.169.240,IgorEliezer,15,,is it me?
2012-04-01T21:44:15.686703+00:00,sim64a[15579]:,chat,2,177.33.96.209,edson,2,FedEx,D: n~ao fala portugues?
2012-04-01T21:44:35.808113+00:00,sim64a[15579]:,chat,3,189.29.169.240,IgorEliezer,15,,claro que falo
2012-04-01T21:44:41.705728+00:00,sim64a[15579]:,chat,3,189.29.169.240,IgorEliezer,15,,г
2012-04-01T21:44:50.948513+00:00,sim64a[15579]:,chat,3,189.29.169.240,IgorEliezer,15,,acentos funcionam
2012-04-01T21:45:02.350929+00:00,sim64a[15579]:,chat,3,189.29.169.240,IgorEliezer,15,,аб
2012-04-01T21:45:23.572522+00:00,sim64a[15579]:,chat,2,177.33.96.209,edson,2,FedEx,nao funciona nao
2012-04-01T21:45:44.472255+00:00,sim64a[15579]:,chat,2,177.33.96.209,edson,2,FedEx,"pelo menos, comigo, eu nao consigo escrever um simples 'n~ao'"
2012-04-01T21:45:52.585476+00:00,sim64a[15579]:,chat,3,189.29.169.240,IgorEliezer,15,,Isso й um teste
2012-04-01T21:46:10.837606+00:00,sim64a[15579]:,chat,2,177.33.96.209,edson,2,FedEx,que teste? D:
2012-04-01T21:46:21.663120+00:00,sim64a[15579]:,chat,2,177.33.96.209,edson,2,FedEx,dos acentos :o
2012-04-01T21:46:23.226254+00:00,sim64a[15579]:,chat,3,189.29.169.240,IgorEliezer,15,,абиймнтущъ
2012-04-01T21:46:47.225524+00:00,sim64a[15579]:,chat,2,177.33.96.209,edson,2,FedEx,haha
2012-04-01T21:47:14.833958+00:00,sim64a[15579]:,connect,4,190.73.89.1,Client#4
2012-04-01T21:47:20.698598+00:00,sim64a[15579]:,chat,3,189.29.169.240,IgorEliezer,15,,oops
2012-04-01T21:47:48.868931+00:00,sim64a[15579]:,chat,3,189.29.169.240,IgorEliezer,15,,Espero que Timothy esteja trabalhando uma caixa de chat melhor que essa.
2012-04-01T21:48:23.361625+00:00,sim64a[15579]:,chat,4,190.73.89.1,Client#4,15,,tambien
2012-04-01T21:48:39.055451+00:00,sim64a[15579]:,chat,2,177.33.96.209,edson,2,FedEx,pois e
2012-04-01T21:49:09.346772+00:00,sim64a[15579]:,chat,2,177.33.96.209,edson,2,FedEx,pena que alguns players gostam de quebrar nossas linhas
